© 2000-2022 QIAGEN. All rights reserved.

Categories	Diseases or Functions Annotation	p-value	Molecules	# Molecules
Endocrine System Disorders,Gastrointestinal Disease,Metabolic Disease,Organismal Injury and Abnormalities	Diabetes mellitus	3.38E-13	ADORA2A,AIM2,CA12,CALHM6,CCL19,CCL4,CCL5,CCR7,CD226,CD38,CD70,CD80,CFB,CXCL10,CXCL13,CXCL8,CYP2E1,G0S2,GBP4,GFPT2,HPN,IFIT1,IFIT2,IFIT3,IL12B,IL15RA,IL1A,IL1B,IL2RA,IL7R,IRF4,IRF7,KCNJ5,LINC01619,MT1G,MT2A,NCF1,PDE4B,PTGIR,PTGS2,RSAD2,SIGLEC10,SOCS2,SOCS3,STAT4,TNFSF10,XAF1,ZBP1	48
Cancer,Hematological Disease,Immunological Disease,Organismal Injury and Abnormalities	Tumorigenesis of lymphocytes	4.71E-13	ADAM19,ADORA2A,AIM2,APOBEC3A,C1QTNF1,CCL19,CCL20,CCL4,CCL5,CCL8,CCR7,CD226,CD300E,CD38,CD70,CD80,CEMIP,CMPK2,CRLF2,CXCL1,CXCL10,CXCL13,CXCL2,CXCL8,DDX58,EBI3,EPSTI1,FPR2,HAPLN3,IDO1,IFI44L,IFIT2,IFIT3,IFITM1,IL1B,IL2RA,IL7R,IRF4,IRF7,ISG15,ISG20,JAK3,LAD1,LAG3,MX1,MYO1G,NAMPT,OASL,PAX5,PDE4B,PLAC8,PLXNA4,PTGS2,RSAD2,SIGLEC10,SLC1A2,SLC8A3,SOCS2,STAT4,THBS1,TNFSF10,TRAF1,VCAN,XAF1	64
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking	Cellular infiltration by lymphocytes	5.63E-13	ADORA2A,AIM2,CCL19,CCL5,CCR7,CRLF2,CXCL10,CXCL8,IL15RA,IL1A,IL1B,IL2RA,IRF7,LAG3,MDK,PTGES,PTGS2,TNFSF10	18
Connective Tissue Disorders,Inflammatory Disease,Inflammatory Response,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Experimentally-induced arthritis	5.63E-13	CCL4,CD70,CFB,CXCL13,CXCL2,CXCL8,FPR2,IL12B,IL1B,MDK,NAMPT,PTGIR,PTGS2,STAT4,THBS1,TNFAIP6	16
Cancer,Organismal Injury and Abnormalities	Metastasis	5.97E-13	ADORA2A,ANGPTL4,CALHM6,CCL19,CCL5,CCL8,CCR7,CD226,CD80,CEMIP,CLEC4D,CXCL1,CXCL2,CXCL3,CXCL5,CXCL8,DDX58,EBI3,ENPP2,EPSTI1,GCH1,IDO1,IL15RA,IL1A,IL1B,IL2RA,IRF4,IRF7,ISG15,LAG3,MX1,PRAME,PTGS2,SERPINB2,SNAI1,SOCS3,THBS1,UNC13A,VCAN,WFDC21P,WNT5A,ZBP1	42
Gastrointestinal Disease,Inflammatory Disease,Inflammatory Response,Organismal Injury and Abnormalities	Experimental colitis	5.97E-13	ACOD1,CCL5,CEMIP,CFB,CLEC4E,CXCL10,CXCL13,CXCL3,EREG,GBP5,IDO1,IL12B,IL1A,IL1B,JAK3,SOCS3,ZBP1	17
Hematological System Development and Function,Tissue Development	Accumulation of blood cells	6.03E-13	ADORA2A,CCL5,CCR7,CD70,CD80,CXCL1,CXCL10,CXCL2,CXCL3,CXCL8,ENPP2,IL12B,IL1B,IL2RA,IRF4,MDK,NCF1,PTGS2,SOCS3,THBS1,TNFSF10	21
Cancer,Dermatological Diseases and Conditions,Hematological Disease,Immunological Disease,Organismal Injury and Abnormalities	Cutaneous T-cell lymphoma	6.21E-13	CCL8,CCR7,CXCL10,CXCL13,IDO1,IFITM1,IL2RA,IRF4,IRF7,ISG15,ISG20,JAK3,MX1,OASL,RSAD2	15
Cellular Development,Hematological System Development and Function,Lymphoid Tissue Structure and Development	Maturation of leukocytes	7.52E-13	ADORA2A,CCL19,CCL20,CCL5,CD80,DDX58,IL12B,IL15RA,IL1A,IL1B,IL27,IL2RA,IL7R,IRF4,PTGS2,SOCS2,THBS1,TNFSF10	18
Gastrointestinal Disease,Inflammatory Disease,Inflammatory Response,Organismal Injury and Abnormalities	Dextran sodium sulfate-induced colitis	9.30E-13	ACOD1,CCL5,CEMIP,CFB,CLEC4E,CXCL10,CXCL13,CXCL3,EREG,GBP5,IDO1,IL1A,IL1B,JAK3,SOCS3,ZBP1	16
Cell Death and Survival,Organismal Injury and Abnormalities	Apoptosis of T lymphocytes	1.06E-12	ADORA2A,CCL19,CCL4,CCL5,CD226,CD38,CD70,IDO1,IL15RA,IL1A,IL1B,IL27,IL2RA,IL7R,IRF4,JAK3,THBS1,TNFSF10,TRAF1,WNT5A	20
Infectious Diseases,Organismal Injury and Abnormalities	Tuberculosis	1.07E-12	CCL20,CCL8,CCR7,CXCL10,CXCL8,GBP5,IFI44L,IFIT1,IFIT2,IFIT3,IFITM1,IL12B,IL2RA,IRF7,MX1,PTGS2	16
Organismal Injury and Abnormalities,Reproductive System Disease	Endometriosis	1.08E-12	CCL19,CCL23,CCL4,CEMIP,CXCL10,CXCL13,CXCL5,CXCL8,FPR2,G0S2,IL1A,IL1B,IL2RA,IL7R,ISG20,MT1E,MT1F,MT1G,MT1H,MT1M,MT1X,PTGS2,TRAF1	23
Hematological System Development and Function,Lymphoid Tissue Structure and Development,Tissue Morphology	Quantity of TREG cells	1.09E-12	ADORA2A,CCL19,CCL5,CCR7,CD38,CD70,CD80,EBI3,IL12B,IL2RA,IL7R,ITGB8	12
Cell Death and Survival,Organismal Injury and Abnormalities	Apoptosis of lymphocytes	1.10E-12	ADORA2A,CCL19,CCL4,CCL5,CD226,CD38,CD70,CD80,HSH2D,IDO1,IL15RA,IL1A,IL1B,IL27,IL2RA,IL7R,IRF4,JAK3,THBS1,TNFSF10,TRAF1,WNT5A	22
Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response,Tissue Development	Accumulation of leukocytes	1.11E-12	ADORA2A,CCL5,CCR7,CD70,CD80,CXCL1,CXCL10,CXCL2,CXCL3,CXCL8,ENPP2,IL12B,IL1B,IL2RA,IRF4,NCF1,PTGS2,SOCS3,THBS1,TNFSF10	20
Hematological System Development and Function,Inflammatory Response,Tissue Morphology	Quantity of dendritic cells	1.28E-12	CCL19,CCL20,CCR7,CLEC4D,CLEC4E,CXCL13,FPR2,IDO1,IL15RA,IL1B,IL2RA,IL7R,IRF4,JAK3,MDK	15
Inflammatory Response,Neurological Disease,Organismal Injury and Abnormalities	Inflammation of central nervous system	1.33E-12	ADORA2A,CCL5,CCR7,CD70,CD80,CLEC4D,CLEC4E,CXCL10,EBI3,IDO1,IFIT2,IL12B,IL1B,IL27,IL2RA,IRF4,ISG15,ITGB8,LAG3,MDK,NCF1,PTGES,PTGS2,STAT4,TNFSF10	25
Cell-To-Cell Signaling and Interaction,Cellular Growth and Proliferation,Hematological System Development and Function	Stimulation of leukocytes	1.51E-12	CCL19,CCL20,CCL5,CD70,CD80,CLEC4E,CXCL10,CXCL3,CXCL5,CXCL8,IL12B,IL1B,IL27,SLAMF1,TNFSF10,WNT5A	16
Infectious Diseases,Organismal Injury and Abnormalities	Replication of RNA virus	1.69E-12	CCL4,CCL5,CD38,CXCL10,CXCL8,CYP2E1,DDX58,HERC5,IFI27,IFIT1,IFITM1,IL1A,IL1B,IL27,IRF7,ISG15,ISG20,MAP1LC3A,MX1,OASL,PTGS2,RSAD2,S100A12,SOCS2,SOCS3,STAT4,TNFSF10	27
Hematological System Development and Function,Tissue Morphology	Quantity of antigen presenting cells	1.70E-12	ADORA2A,CCL19,CCL20,CCR7,CLEC4D,CLEC4E,CXCL10,CXCL13,FPR2,IDO1,IL12B,IL15RA,IL1A,IL1B,IL2RA,IL7R,IRF4,JAK3,MDK,SOCS3,STAT4,WNT5A	22
Inflammatory Disease,Inflammatory Response,Neurological Disease,Organismal Injury and Abnormalities	Encephalitis	1.76E-12	ADORA2A,CCL5,CCR7,CD70,CD80,CLEC4D,CLEC4E,CXCL10,EBI3,IDO1,IFIT2,IL12B,IL1B,IL27,IL2RA,IRF4,ISG15,ITGB8,LAG3,MDK,NCF1,PTGES,STAT4,TNFSF10	24
Tissue Development	Accumulation of cells	1.76E-12	ADORA2A,CCL5,CCR7,CD70,CD80,CLEC4E,CXCL1,CXCL10,CXCL2,CXCL3,CXCL8,ENPP2,IL12B,IL1B,IL2RA,IRF4,MDK,NCF1,PTGS2,SOCS3,THBS1,TNFSF10	22
Immunological Disease,Inflammatory Disease,Organismal Injury and Abnormalities	Active stage systemic lupus erythematosus	1.80E-12	IFI44L,IFIT1,IFIT3,IL12B,IRF7,ISG15,MT1H,MT1X,MX1,MX2,RSAD2,SOCS3	12
Cancer,Organismal Injury and Abnormalities	Advanced malignant tumor	1.99E-12	ADORA2A,ANGPTL4,CALHM6,CCL19,CCL5,CCL8,CCR7,CD226,CD80,CEMIP,CLEC4D,CXCL1,CXCL2,CXCL3,CXCL5,CXCL8,DDX58,EBI3,ENPP2,EPSTI1,GCH1,IDO1,IL15RA,IL1A,IL1B,IL2RA,IRF4,IRF7,ISG15,JAK3,LAG3,MX1,PRAME,PTGS2,SERPINB2,SNAI1,SOCS3,THBS1,UNC13A,VCAN,WFDC21P,WNT5A,ZBP1	43
Immunological Disease,Organismal Injury and Abnormalities	Allergy	2.30E-12	ADAM19,ADORA2A,CCL20,CCL23,CCL4,CCL5,CXCL1,CXCL8,FPR2,GCH1,IFI27,IL12B,IL1A,IL1B,IL27,IL2RA,JAK3,MX1,PDE4B,PTGIR,PTGS2,SOCS2,SOCS3,TNFSF10	24
Infectious Diseases,Organismal Injury and Abnormalities	Infection of mammalia	2.37E-12	AIM2,CCR7,CD70,CFB,CLEC4D,CLEC4E,CXCL10,DDX58,EBI3,IFIT2,IL12B,IL1B,IRF4,IRF7,ISG15,NCF1,PLAC8,SIGLEC1,SLAMF1,STAT4,TNFSF10	21
Cancer,Hematological Disease,Organismal Injury and Abnormalities	Mature lymphocytic neoplasm	2.50E-12	ADAM19,AIM2,APOBEC3A,C1QTNF1,CCL19,CCL20,CCL4,CCL5,CCL8,CCR7,CD226,CD300E,CD38,CD70,CD80,CEMIP,CXCL1,CXCL10,CXCL13,CXCL2,CXCL8,DDX58,EBI3,EPSTI1,IDO1,IFI44L,IFIT2,IFIT3,IFITM1,IL1B,IL2RA,IL7R,IRF4,IRF7,ISG15,ISG20,JAK3,LAD1,MX1,MYO1G,NAMPT,OASL,PAX5,PLXNA4,PTGS2,RSAD2,SIGLEC10,SLC8A3,SOCS2,STAT4,TNFSF10,TRAF1,VCAN	53
Cell-To-Cell Signaling and Interaction,Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking	Recruitment of lymphocytes	2.56E-12	CCL19,CCL20,CCL4,CCL5,CCR7,CLEC4E,CXCL10,CXCL13,CXCL3,CXCL8,DDX58,IL15RA,IL1B	13
Cell-To-Cell Signaling and Interaction	Intercellular communication	3.15E-12	ADORA2A,CCL20,CCL23,CCL4,CD70,CXCL10,CXCL5,EREG,IL1B,NAMPT,PANX2,PTGIR,TNFAIP6,TNFSF10,WNT5A	15
Organismal Injury and Abnormalities,Reproductive System Disease	Benign pelvic disease	3.38E-12	CCL19,CCL23,CCL4,CEMIP,CFB,CRLF2,CXCL10,CXCL13,CXCL5,CXCL8,FPR2,G0S2,HAPLN3,IFI44L,IFIT1,IFIT3,IL1A,IL1B,IL2RA,IL7R,IRF4,ISG20,MT1E,MT1F,MT1G,MT1H,MT1M,MT1X,PTGS2,SOCS3,TNFSF10,TRAF1,VCAN,XAF1	34
Cancer,Hematological Disease,Immunological Disease,Organismal Injury and Abnormalities	Lymphoma	3.67E-12	ADAM19,ADORA2A,AIM2,APOBEC3A,C1QTNF1,CCL19,CCL20,CCL5,CCL8,CCR7,CD38,CD70,CD80,CXCL10,CXCL13,CXCL8,DDX58,EBI3,FPR2,IDO1,IFI44L,IFIT2,IFIT3,IFITM1,IL1B,IL2RA,IL7R,IRF4,IRF7,ISG15,ISG20,JAK3,LAD1,LAG3,MX1,MYO1G,OASL,PAX5,PDE4B,PLAC8,PLXNA4,PTGS2,RSAD2,SIGLEC10,SLC8A3,STAT4,THBS1,TNFSF10,TRAF1	49
Gastrointestinal Disease,Hepatic System Disease,Organismal Injury and Abnormalities	Liver Damage	4.12E-12	ADORA2A,CCL4,CCL5,CXCL1,CXCL10,CYP2E1,EBI3,FPR2,GBP5,IL1A,IL1B,IL27,NCF1,PTGS2,STAT4,TNFSF10,TRAF1	17
Infectious Diseases,Organismal Injury and Abnormalities	Replication of Flaviviridae	4.12E-12	CXCL10,CYP2E1,DDX58,IFI27,IFIT1,IFITM1,ISG15,MAP1LC3A,OASL,RSAD2,SOCS2,SOCS3	12
Cancer,Hematological Disease,Organismal Injury and Abnormalities	Hematologic cancer	4.14E-12	ADAM19,ADORA2A,AIM2,ANGPTL4,ANKRD22,APOBEC3A,APOL3,BCL2L14,C1QTNF1,CCL19,CCL20,CCL4,CCL5,CCL8,CCR7,CD226,CD300E,CD38,CD70,CD80,CEMIP,CMPK2,CRLF2,CXCL1,CXCL10,CXCL13,CXCL2,CXCL8,CYP2E1,DDX58,EBI3,ENPP2,EPSTI1,FPR2,HAPLN3,IDO1,IFI44L,IFIT1,IFIT2,IFIT3,IFITM1,IL12B,IL1B,IL2RA,IL7R,IRF4,IRF7,ISG15,ISG20,JAK3,LAD1,LAG3,MN1,MX1,MYO1G,NAMPT,NSUN7,OASL,PAX5,PDE4B,PLAC8,PLXNA4,PTGS2,RSAD2,SERPINB2,SIGLEC10,SLC1A2,SLC8A3,SNAI1,SOCS2,STAT4,THBS1,TNFAIP6,TNFSF10,TRAF1,UNC13A,VCAN,XAF1,ZBP1	79
Gastrointestinal Disease,Inflammatory Disease,Inflammatory Response,Organismal Injury and Abnormalities	Acute colitis	4.22E-12	ACOD1,CCL5,CEMIP,CLEC4E,CXCL10,CXCL3,EREG,GBP5,IDO1,PTGS2	10
Cell-To-Cell Signaling and Interaction,Cellular Movement	Chemoattraction of myeloid cells	4.28E-12	CCL4,CCL5,CXCL1,CXCL10,CXCL3,CXCL5,CXCL8,FPR2,IL12B	9
Cancer,Hematological Disease,Immunological Disease,Organismal Injury and Abnormalities	T-cell non-Hodgkin lymphoma	4.45E-12	ADAM19,ADORA2A,AIM2,C1QTNF1,CCL19,CCL20,CCL8,CCR7,CD38,CXCL10,CXCL13,CXCL8,EBI3,IDO1,IFI44L,IFIT2,IFIT3,IFITM1,IL2RA,IRF4,IRF7,ISG15,ISG20,JAK3,LAD1,MX1,OASL,PAX5,PLXNA4,RSAD2,STAT4	31
Digestive System Development and Function,Gastrointestinal Disease,Hepatic System Development and Function,Hepatic System Disease,Inflammatory Disease,Inflammatory Response,Organ Development,Organismal Injury and Abnormalities	Severe hepatitis	4.79E-12	ADORA2A,CCR7,CXCL10,IFIT2,IFIT3,IRF7,ISG15,PDE4B	8
Cellular Function and Maintenance,Hematological System Development and Function	Function of T lymphocytes	5.18E-12	ADGRE1,CCL5,CCR7,CD70,CD80,CXCL10,EBI3,HSH2D,IL12B,IL27,IL2RA,IRF7,JAK3,LAG3,MYO1G,SLAMF1,STAT4,TNFSF10	18
Neurological Disease,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Neuromuscular disease	5.26E-12	ADGRE1,ADORA2A,CA12,CCL4,CCL5,CD38,CD80,CFB,CXCL1,CXCL10,CXCL13,DDX58,ENPP2,EPSTI1,GCH1,IDO1,IFIT1,IFIT3,IL1A,IL1B,IL2RA,IL7R,IRF4,IRF7,ISG15,KCNA2,LAG3,MT1E,MT1G,MT1H,MT1M,MT1X,MT2A,MX1,PDE4B,PTGS2,RSAD2,SLC1A2,VCAN,ZBP1	40
Gastrointestinal Disease,Hepatic System Disease,Organismal Injury and Abnormalities	Hepatic injury	6.56E-12	ADORA2A,CCL4,CCL5,CXCL1,CXCL10,CYP2E1,EBI3,FPR2,GBP5,IL1A,IL27,NCF1,STAT4,TRAF1	14
Cell-mediated Immune Response,Cellular Development,Cellular Function and Maintenance,Cellular Growth and Proliferation,Embryonic Development,Hematological System Development and Function,Hematopoiesis,Lymphoid Tissue Structure and Development,Organ Development,Organismal Development,Tissue Development	Differentiation of T lymphocytes	6.76E-12	CCL5,CD226,CD70,CD80,CLEC4E,CXCL1,CXCL5,DDX58,IDO1,IL12B,IL1B,IL27,IL2RA,IL7R,IRF4,ITGB8,JAK3,MDK,PTGS2,RSAD2,SOCS2,SOCS3,STAT4	23
Immunological Disease,Inflammatory Disease,Inflammatory Response,Neurological Disease,Organismal Injury and Abnormalities	Experimental autoimmune encephalomyelitis	7.50E-12	ADORA2A,CCL5,CCR7,CD80,CLEC4D,CLEC4E,CXCL10,EBI3,IDO1,IL12B,IL1B,IL27,IL2RA,IRF4,ISG15,ITGB8,LAG3,MDK,NCF1,PTGES,STAT4,TNFSF10	22
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	Chemotaxis of antigen presenting cells	8.97E-12	CCL19,CCL20,CCL4,CCL5,CCR7,CD38,CXCL10,FPR2,IL12B,IL1A,IL1B,MDK,PTGES,SLAMF1,THBS1	15
Cancer,Hematological Disease,Immunological Disease,Organismal Injury and Abnormalities	Lymphocytic cancer	9.21E-12	ADAM19,ADORA2A,AIM2,APOBEC3A,APOL3,C1QTNF1,CCL19,CCL20,CCL4,CCL5,CCL8,CCR7,CD226,CD300E,CD38,CD70,CD80,CEMIP,CMPK2,CRLF2,CXCL1,CXCL10,CXCL13,CXCL2,CXCL8,DDX58,EBI3,EPSTI1,FPR2,HAPLN3,IDO1,IFI44L,IFIT2,IFIT3,IFITM1,IL1B,IL2RA,IL7R,IRF4,IRF7,ISG15,ISG20,JAK3,LAD1,LAG3,MX1,MYO1G,NAMPT,OASL,PAX5,PDE4B,PLAC8,PLXNA4,PTGS2,RSAD2,SIGLEC10,SLC1A2,SLC8A3,SOCS2,STAT4,THBS1,TNFSF10,TRAF1,VCAN,XAF1,ZBP1	66
Cancer,Hematological Disease,Organismal Injury and Abnormalities	Malignant lymphocytic neoplasm	9.21E-12	ADAM19,ADORA2A,AIM2,APOBEC3A,APOL3,C1QTNF1,CCL19,CCL20,CCL4,CCL5,CCL8,CCR7,CD226,CD300E,CD38,CD70,CD80,CEMIP,CMPK2,CRLF2,CXCL1,CXCL10,CXCL13,CXCL2,CXCL8,DDX58,EBI3,EPSTI1,FPR2,HAPLN3,IDO1,IFI44L,IFIT2,IFIT3,IFITM1,IL1B,IL2RA,IL7R,IRF4,IRF7,ISG15,ISG20,JAK3,LAD1,LAG3,MX1,MYO1G,NAMPT,OASL,PAX5,PDE4B,PLAC8,PLXNA4,PTGS2,RSAD2,SIGLEC10,SLC1A2,SLC8A3,SOCS2,STAT4,THBS1,TNFSF10,TRAF1,VCAN,XAF1,ZBP1	66
Organismal Injury and Abnormalities,Renal and Urological Disease	Renal impairment	9.45E-12	ADORA2A,CA12,CD80,CFB,CLEC4E,CXCL8,IDO1,IL1A,IL1B,IL2RA,IRF4,MDK,PDE4B,PTGIR,PTGS2,SLC2A6,SOCS2,THBS1,WNT5A	19
Cell-mediated Immune Response,Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking	Infiltration by T lymphocytes	1.03E-11	ADORA2A,AIM2,CCL19,CCL5,CRLF2,CXCL10,IL15RA,IL1A,IL1B,IL2RA,IRF7,LAG3,MDK,PTGS2,TNFSF10	15
Immunological Disease,Organismal Injury and Abnormalities	Delayed hypersensitive reaction	1.04E-11	CCL5,CCR7,CLEC4D,CLEC4E,CXCL10,IDO1,IFITM1,IL12B,IL1B,IL27,MX1,NCF1,TNFSF10	13
Cell-To-Cell Signaling and Interaction,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	Activation of antigen presenting cells	1.05E-11	CCL20,CCL4,CCL5,CCR7,CD80,CLEC4D,CLEC4E,CXCL10,CXCL5,CXCL8,DDX58,IDO1,IL1B,IRF4,NAMPT,PTGES,PTGS2,STAT4,THBS1,TNFSF10,WNT5A	21
Cell-To-Cell Signaling and Interaction,Cellular Movement,Immune Cell Trafficking	Attraction of antigen presenting cells	1.24E-11	CCL19,CCL20,CCL4,CCL5,CXCL10,IL12B,IL1B,VCAN	8
Hematological System Development and Function,Tissue Morphology	Quantity of myeloid cells	1.36E-11	ADORA2A,CD226,CLEC4E,CRLF2,CXCL10,CXCL2,CXCL8,DDX58,EBI3,FPR2,IL12B,IL1A,IL1B,IL2RA,IRF4,JAK3,MDK,PDE4B,PLAC8,PTGES,PTGIR,PTGS2,SERPINB2,SOCS3,STAT4,THBS1,TNFSF10,WNT5A	28
Cell Signaling	Replication of viral replicon	1.36E-11	APOBEC3A,CCL5,IFIT1,IFITM1,ISG15,ISG20,MX1,OASL,PTGS2,RSAD2	10
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking	Trafficking of leukocytes	1.59E-11	CCL19,CCL20,CCL4,CCL5,CCR7,CXCL1,CXCL10,CXCL13,CXCL3,ENPP2	10
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	Migration of dendritic cells	1.60E-11	CCL19,CCL20,CCL4,CCL5,CCR7,CD38,CD80,CXCL10,CXCL13,FPR2,IL12B,IL1B,PDPN	13
Cancer,Hematological Disease,Organismal Injury and Abnormalities	Neoplasia of blood cells	1.63E-11	ADAM19,ADORA2A,AIM2,ANGPTL4,ANKRD22,APOBEC3A,BCL2L14,C1QTNF1,CCL19,CCL20,CCL4,CCL5,CCL8,CCR7,CD226,CD300E,CD38,CD70,CD80,CEMIP,CMPK2,CRLF2,CXCL1,CXCL10,CXCL13,CXCL2,CXCL8,CYP2E1,DDX58,EBI3,EPSTI1,FPR2,HAPLN3,IDO1,IFI27,IFI44L,IFIT1,IFIT2,IFIT3,IFITM1,IL1B,IL2RA,IL7R,IRF4,IRF7,ISG15,ISG20,JAK3,LAD1,LAG3,MN1,MX1,MYO1G,NAMPT,NSUN7,OASL,PAX5,PDE4B,PLAC8,PLXNA4,PTGS2,RSAD2,SERPINB2,SIGLEC10,SLC1A2,SLC8A3,SNAI1,SOCS2,STAT4,THBS1,TNFAIP6,TNFSF10,TRAF1,UNC13A,VCAN,XAF1	76
Cell-mediated Immune Response,Cellular Development,Cellular Function and Maintenance,Cellular Growth and Proliferation,Embryonic Development,Hematological System Development and Function,Hematopoiesis,Lymphoid Tissue Structure and Development,Organ Development,Organismal Development,Tissue Development	Development of helper T lymphocytes	1.82E-11	CD226,DDX58,IL12B,IL1A,IL1B,IL27,IRF4,JAK3,SOCS2,SOCS3,STAT4	11
Gastrointestinal Disease,Organismal Injury and Abnormalities	Chronic periodontal disease	1.83E-11	CCL4L1/CCL4L2,CCL5,CXCL8,G0S2,IL1A,IL1B,IL7R,NKG7,PDE4B,PLAC8,PTGS2,SOCS3	12
Cell-To-Cell Signaling and Interaction,Hematological System Development and Function,Immune Cell Trafficking	Adhesion of mononuclear leukocytes	1.88E-11	CCL19,CCL20,CCL4,CCL5,CCR7,CD80,CXCL13,CXCL8,IL1A,IL1B,IL7R,JAK3,MYO1G,THBS1	14
Cancer,Hematological Disease,Organismal Injury and Abnormalities	Hematologic cancer of cells	1.90E-11	ADAM19,ADORA2A,AIM2,APOBEC3A,C1QTNF1,CCL19,CCL20,CCL4,CCL5,CCL8,CCR7,CD300E,CD38,CD70,CD80,CEMIP,CMPK2,CRLF2,CXCL10,CXCL13,CXCL8,DDX58,EBI3,ENPP2,FPR2,HAPLN3,IDO1,IFI44L,IFIT2,IFIT3,IFITM1,IL1B,IL2RA,IL7R,IRF4,IRF7,ISG15,ISG20,JAK3,LAD1,LAG3,MX1,MYO1G,NAMPT,OASL,PAX5,PDE4B,PLAC8,PLXNA4,PTGS2,RSAD2,SIGLEC10,SLC1A2,SLC8A3,STAT4,THBS1,TNFSF10,TRAF1,VCAN,XAF1	60
Cancer,Hematological Disease,Immunological Disease,Organismal Injury and Abnormalities	Mature T-cell neoplasm	1.93E-11	ADAM19,AIM2,C1QTNF1,CCL19,CCL20,CCL8,CCR7,CD38,CXCL10,CXCL13,CXCL8,EBI3,IDO1,IFI44L,IFIT2,IFIT3,IFITM1,IL2RA,IRF4,IRF7,ISG15,ISG20,JAK3,LAD1,MX1,OASL,PLXNA4,RSAD2,STAT4,TNFSF10	30
Cell Death and Survival,Organismal Injury and Abnormalities	Cell viability of leukocytes	1.98E-11	AIM2,CCL4,CCR7,CD38,CD80,CXCL8,HSH2D,IDO1,IL1B,IL27,IL7R,IRF4,JAK3,MX1,SERPINB2,STAT4,TNFSF10,WNT5A	18
Cancer,Hematological Disease,Organismal Injury and Abnormalities	Myeloid or lymphoid neoplasm	2.03E-11	ADAM19,ADORA2A,AIM2,ANGPTL4,ANKRD22,APOBEC3A,APOL3,BCL2L14,C1QTNF1,CCL19,CCL20,CCL4,CCL5,CCL8,CCR7,CD226,CD300E,CD38,CD70,CD80,CEMIP,CMPK2,CRLF2,CXCL1,CXCL10,CXCL13,CXCL2,CXCL8,CYP2E1,DDX58,EBI3,EPSTI1,FPR2,HAPLN3,IDO1,IFI27,IFI44L,IFIT1,IFIT2,IFIT3,IFITM1,IL1B,IL2RA,IL7R,IRF4,IRF7,ISG15,ISG20,JAK3,LAD1,LAG3,MN1,MX1,MYO1G,NAMPT,NSUN7,OASL,PAX5,PDE4B,PLAC8,PLXNA4,PTGS2,RSAD2,SERPINB2,SIGLEC10,SLC1A2,SLC8A3,SNAI1,SOCS2,STAT4,THBS1,TNFAIP6,TNFSF10,TRAF1,UNC13A,VCAN,XAF1,ZBP1	78
Cell-To-Cell Signaling and Interaction	Binding of cell surface	2.16E-11	CCL19,CCL20,CCL5,CCL8,CXCL1,CXCL10,CXCL13,CXCL3,CXCL8,TNFSF10	10
Cell-To-Cell Signaling and Interaction,Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	Recruitment of dendritic cells	2.21E-11	CCL19,CCL20,CCL4,CCL5,CXCL10,CXCL3,CXCL8,FPR2	8
Cell-To-Cell Signaling and Interaction,Inflammatory Response	Response of phagocytes	2.72E-11	ADORA2A,CCL19,CCL20,CCL4,CCL5,CD38,CD80,CXCL1,CXCL10,CXCL3,CXCL8,DDX58,HSH2D,IL1B,ISG15,SIGLEC1,THBS1,WNT5A	18
Hematological System Development and Function,Lymphoid Tissue Structure and Development,Tissue Morphology	Quantity of innate lymphoid cells	2.86E-11	ADORA2A,CALHM6,CD70,CD80,EBI3,IL12B,IL15RA,IL1B,IL2RA,IL7R,ISG15,JAK3,PTGIR	13
Cell-mediated Immune Response,Cell-To-Cell Signaling and Interaction,Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking	Recruitment of T lymphocytes	3.66E-11	CCL19,CCL20,CCL4,CCL5,CCR7,CXCL10,CXCL13,CXCL3,CXCL8,DDX58,IL1B	11
Organismal Injury and Abnormalities,Tissue Morphology	Size of lesion	4.39E-11	ADORA2A,AIM2,C1QTNF1,CA12,CCL19,CD226,CD38,CXCL3,EBI3,EHF,FSIP1,IDO1,IL1A,IL1B,MDK,NAMPT,PANX2,PTGES,PTGS2,SLC8A3,SOCS3,THBS1,TNFSF10	23
Cell-To-Cell Signaling and Interaction,Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	Recruitment of monocytes	4.45E-11	CCL19,CCL20,CCL23,CCL4,CCL5,CXCL10,CXCL3,CXCL8,FPR2,IL1B	10
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	Chemotaxis of dendritic cells	4.58E-11	CCL19,CCL20,CCL4,CCL5,CCR7,CD38,CXCL10,FPR2,IL1A,IL1B,SLAMF1	11
